Run,Plate,Sample ID,Replicate,Number,pH,Fed_Unfed,min_0,min_10,min_20,min_30,min_40,min_50,min_60,Notes
1,1,1,D,2,7.5,unfed,1559,1417,1417,1271,,1357,1398,
1,1,2,C,3,8,fed,1467,1280,1169,828,,,629,
1,1,3,D,3,7.5,fed,1460,1111,976,878,,,140,
1,1,4,A,3,7.5,unfed,1445,1465,1304,1241,,,1024,
1,1,5,A,3,8,fed,1476,918,623,150,,,396,
1,1,6,A,2,8,unfed,1446,1338,1206,1130,,,934,
1,1,7,B,3,8,unfed,1395,1363,1403,1081,,,795,
1,1,8,NA,NA,8,blank,1466,1522,1410,1400,,,1430,
1,1,9,D,2,7.5,fed,1434,1094,1243,871,,619,967,
1,1,10,D,3,8,fed,1366,894,957,1268,,611,1049,CROSSED OUT
1,1,11,B,3,8,unfed,1406,1444,1476,1284,,,1037,
1,1,12,C,2,8,unfed,1336,1438,1411,1296,,,1180,
1,1,13,A,3,7.5,fed,1353,1405,1126,843,,,379,
1,1,14,A,3,8,unfed,1412,1426,1316,1488,,,1092,
1,1,15,B,2,7.5,unfed,1465,1338,1522,1392,,1490,1398,
1,1,16,B,3,8,fed,1440,1254,710,578,,,173,
1,1,17,C,3,7.5,fed,1348,1377,1401,1422,,,1301,
1,1,18,D,2,8,unfed,1344,1352,1278,1272,,,949,
1,1,19,A,2,7.5,unfed,1414,1433,1315,1299,,,1193,
1,1,20,B,3,7.5,fed,1331,1292,1119,1276,,,1101,
1,1,21,C,2,7.5,unfed,1332,1417,1376,1224,,,1109,
1,1,22,B,2,8,unfed,1395,1335,1331,1175,,,1187,
1,1,23,NA,NA,7.5,blank,1309,1338,1495,1424,,,1307,
1,1,24,D,2,8,fed,1332,1385,1334,1295,,,924,
1,2,25,B,1,7.5,fed,1504,1154,1508,1194,,931,1163,
1,2,26,D,1,8,fed,853,556,417,470,,,679,
1,2,27,A,1,7.5,unfed,1478,1558,1524,1353,,,1281,
1,2,28,B,1,8,fed,1414,1441,1397,1191,,1280,1300,
1,2,29,D,1,7.5,unfed,1455,1358,1283,1323,,,1381,
1,2,30,NA,NA,7.5,blank,1504,1505,1485,1484,,,1459,
1,2,31,B,1,7.5,unfed,1324,1574,1109,1046,,,945,
1,2,32,D,1,8,unfed,1443,1356,1033,931,,,846,
1,2,33,NA,NA,8,blank,1456,1478,1308,1386,,,1326,
1,2,34,C,1,7.5,unfed,1457,1412,1314,1530,,1587,1193,
1,2,35,A,2,8,fed,1317,1213,997,912,,,840,
1,2,36,C,1,8,fed,1372,1374,1174,1210,,,1053,
1,2,37,C,1,7.5,fed,1504,1310,1327,1240,,,1173,
1,2,38,C,1,8,unfed,1612,1496,1435,1412,,,1356,
1,2,39,C,2,7.5,fed,1381,1185,1176,758,,,960,
1,2,40,D,1,7.5,fed,1571,1460,1343,1488,,,1136,
1,2,41,B,1,8,unfed,1565,1201,608,1052,,474,565,
1,2,42,B,2,8,fed,1131,719,387,276,,,239,
1,2,43,A,1,8,unfed,1432,1376,1297,1195,,,1320,
1,2,44,A,1,7.5,fed,1313,1000,756,2328,,366,508,
1,2,45,A,2,7.5,fed,1547,1585,1302,1176,,,1166,
1,2,46,B,2,7.5,fed,1537,1351,1424,1356,,,1152,
1,2,47,A,1,8,fed,1388,1284,990,877,,,451,
1,2,48,C,2,8,fed,1584,1406,1375,1452,,,1284,
2,1,1,NA,,7.5,blank,1194,1475,1505,,1396,1457,1416,
2,1,2,C,4,8,fed,1395,,1301,,1102,1018,1222,
2,1,3,C,4,7.5,fed,1499,,356,,109,NA,286,
2,1,4,NA,NA,8,blank,1342,,1487,,1418,,1415,
2,1,5,A,5,8,fed,1327,,516,,356,,99,
2,1,6,B,5,8,unfed,1466,,1704,1178,1233,,1019,
2,1,7,A,5,7.5,fed,1312,1106,392,603,216,1059,1485,
2,1,8,D,4,8,unfed,1478,,1356,,1235,,1272,
2,1,9,B,4,7.5,fed,1669,,1150,,847,470,NA,
2,1,10,C,5,7.5,unfed,1167,1450,1483,,1414,,1138,"no scallop in resp, took new from dep chamber"
2,1,11,D,4,7.5,fed,1737,,1189,,982,,703,
2,1,12,B,4,8,unfed,1554,,1171,,1114,,1234,
2,1,13,C,5,8,fed,1233,,1390,1410,1291,,1167,
2,1,14,C,4,8,unfed,NA,NA,NA,NA,NA,NA,NA,dead???
2,1,15,B,4,7.5,unfed,1145,1296,1381,,1359,,1257,
2,1,16,A,4,8,unfed,1715,,1421,,1261,,1215,
2,1,17,A,4,7.5,unfed,1529,,1385,,1687,,1220,
2,1,18,D,5,7.5,unfed,1360,1380,1441,,1476,1134,1316,
2,2,19,A,4,7.5,fed,1598,,1139,,736,,975,
2,2,20,B,5,7.5,unfed,NA,NA,NA,NA,NA,NA,NA,dead???
2,2,21,C,4,7.5,unfed,1341,,1375,,1304,1300,1438,
2,2,22,D,4,8,fed,1453,,930,,562,413,2045,
2,2,23,D,5,8,fed,1501,,835,,552,,507,
2,2,24,A,4,8,fed,1674,,1445,,1440,,1289,
2,2,25,A,5,7.5,unfed,1757,,1310,,1193,1156,1291,
2,2,26,B,4,8,fed,1867,,1000,,631,,393,
2,2,27,D,5,7.5,fed,1446,,1167,,747,978,1063,
2,2,28,NA,NA,7.5,blank,1775,1802,1535,,1535,,1527,
2,2,29,C,5,8,unfed,1577,,1631,,1390,1404,1466,
2,2,30,NA,NA,8,blank,1650,,1570,,1452,,1513,
2,2,31,C,5,7.5,fed,1708,,1518,,1320,,1206,
2,2,32,A,5,8,unfed,1731,,1200,,1074,,1147,
2,2,33,B,5,7.5,fed,1547,,1202,,906,,710,
2,2,34,B,5,8,fed,1451,,910,,659,,753,
2,2,35,D,4,7.5,unfed,1648,,1662,,1390,,1486,
2,2,36,D,5,8,unfed,1551,,1522,,1331,1330,1524,
