Date,Run,pH,Fed_Unfed,Time _min,Count,Chamber_tank
20210914,1,8,NA,0,1353,8A
20210914,1,8,NA,10,1216,8A
20210914,1,8,NA,27,1210,8A
20210914,1,8,NA,47,1164,8A
20210914,1,8,NA,57,1114,8A
20210914,1,8,NA,70,1098,8A
20210914,1,8,NA,90,1007,8A
20210914,1,8,NA,0,1332,8B
20210914,1,8,NA,10,1315,8B
20210914,1,8,NA,27,1234,8B
20210914,1,8,NA,47,1165,8B
20210914,1,8,NA,57,983,8B
20210914,1,8,NA,70,999,8B
20210914,1,8,NA,90,767,8B
20210914,1,8,NA,0,1357,8C
20210914,1,8,NA,10,1288,8C
20210914,1,8,NA,27,1364,8C
20210914,1,8,NA,47,1076,8C
20210914,1,8,NA,57,966,8C
20210914,1,8,NA,70,927,8C
20210914,1,8,NA,90,1116,8C
20210914,1,8,NA,0,1355,Blank
20210914,1,8,NA,10,1335,Blank
20210914,1,8,NA,27,1534,Blank
20210914,1,8,NA,47,1294,Blank
20210914,1,8,NA,57,1296,Blank
20210914,1,8,NA,70,1307,Blank
20210914,1,8,NA,90,1339,Blank
20210914,1,7.5,NA,0,1314,7.5A
20210914,1,7.5,NA,10,1186,7.5A
20210914,1,7.5,NA,27,1295,7.5A
20210914,1,7.5,NA,47,984,7.5A
20210914,1,7.5,NA,57,681,7.5A
20210914,1,7.5,NA,70,849,7.5A
20210914,1,7.5,NA,90,521,7.5A
20210914,1,7.5,NA,0,1333,7.5B
20210914,1,7.5,NA,10,1338,7.5B
20210914,1,7.5,NA,27,1103,7.5B
20210914,1,7.5,NA,47,1026,7.5B
20210914,1,7.5,NA,57,824,7.5B
20210914,1,7.5,NA,70,785,7.5B
20210914,1,7.5,NA,90,711,7.5B
20210914,1,7.5,NA,0,1366,7.5C
20210914,1,7.5,NA,10,1209,7.5C
20210914,1,7.5,NA,27,1157,7.5C
20210914,1,7.5,NA,47,892,7.5C
20210914,1,7.5,NA,57,718,7.5C
20210914,1,7.5,NA,70,888,7.5C
20210914,1,7.5,NA,90,493,7.5C
20210914,1,7.5,NA,0,1327,Blank
20210914,1,7.5,NA,10,1384,Blank
20210914,1,7.5,NA,27,1426,Blank
20210914,1,7.5,NA,47,1328,Blank
20210914,1,7.5,NA,57,1250,Blank
20210914,1,7.5,NA,70,1350,Blank
20210914,1,7.5,NA,90,1284,Blank
20210914,2,8,NA,0,1315,8D
20210914,2,8,NA,10,1316,8D
20210914,2,8,NA,20,1256,8D
20210914,2,8,NA,30,1285,8D
20210914,2,8,NA,40,921,8D
20210914,2,8,NA,50,864,8D
20210914,2,8,NA,70,885,8D
20210914,2,8,NA,90,627,8D
20210914,2,8,NA,0,1413,8A
20210914,2,8,NA,10,1204,8A
20210914,2,8,NA,20,805,8A
20210914,2,8,NA,30,855,8A
20210914,2,8,NA,40,514,8A
20210914,2,8,NA,50,764,8A
20210914,2,8,NA,70,819,8A
20210914,2,8,NA,90,562,8A
20210914,2,8,NA,0,1404,8B
20210914,2,8,NA,10,1258,8B
20210914,2,8,NA,20,1249,8B
20210914,2,8,NA,30,1152,8B
20210914,2,8,NA,40,1131,8B
20210914,2,8,NA,50,983,8B
20210914,2,8,NA,70,1040,8B
20210914,2,8,NA,90,893,8B
20210914,2,8,NA,0,1315,Blank
20210914,2,8,NA,10,1293,Blank
20210914,2,8,NA,20,1346,Blank
20210914,2,8,NA,30,1449,Blank
20210914,2,8,NA,40,1229,Blank
20210914,2,8,NA,50,1263,Blank
20210914,2,8,NA,70,1297,Blank
20210914,2,8,NA,90,1279,Blank
20210914,2,7.5,NA,0,1497,7.5D
20210914,2,7.5,NA,10,1324,7.5D
20210914,2,7.5,NA,20,1160,7.5D
20210914,2,7.5,NA,30,853,7.5D
20210914,2,7.5,NA,40,768,7.5D
20210914,2,7.5,NA,50,848,7.5D
20210914,2,7.5,NA,70,604,7.5D
20210914,2,7.5,NA,90,541,7.5D
20210914,2,7.5,NA,0,1410,7.5A
20210914,2,7.5,NA,10,1370,7.5A
20210914,2,7.5,NA,20,1261,7.5A
20210914,2,7.5,NA,30,1180,7.5A
20210914,2,7.5,NA,40,1055,7.5A
20210914,2,7.5,NA,50,964,7.5A
20210914,2,7.5,NA,70,907,7.5A
20210914,2,7.5,NA,90,808,7.5A
20210914,2,7.5,NA,0,1353,7.5B
20210914,2,7.5,NA,10,1172,7.5B
20210914,2,7.5,NA,20,1124,7.5B
20210914,2,7.5,NA,30,933,7.5B
20210914,2,7.5,NA,40,819,7.5B
20210914,2,7.5,NA,50,540,7.5B
20210914,2,7.5,NA,70,264,7.5B
20210914,2,7.5,NA,90,192,7.5B
20210914,2,7.5,NA,0,1354,Blank
20210914,2,7.5,NA,10,1346,Blank
20210914,2,7.5,NA,20,1246,Blank
20210914,2,7.5,NA,30,1273,Blank
20210914,2,7.5,NA,40,1268,Blank
20210914,2,7.5,NA,50,1232,Blank
20210914,2,7.5,NA,70,1223,Blank
20210914,2,7.5,NA,90,1177,Blank
20210914,3,8,NA,0,1283,8C
20210914,3,8,NA,15,1178,8C
20210914,3,8,NA,30,992,8C
20210914,3,8,NA,45,1010,8C
20210914,3,8,NA,60,1009,8C
20210914,3,8,NA,75,946,8C
20210914,3,8,NA,90,833,8C
20210914,3,8,NA,0,1343,8D
20210914,3,8,NA,15,1064,8D
20210914,3,8,NA,30,785,8D
20210914,3,8,NA,45,422,8D
20210914,3,8,NA,60,393,8D
20210914,3,8,NA,75,593,8D
20210914,3,8,NA,90,390,8D
20210914,3,8,NA,0,1280,8A
20210914,3,8,NA,15,1259,8A
20210914,3,8,NA,30,1247,8A
20210914,3,8,NA,45,1194,8A
20210914,3,8,NA,60,1249,8A
20210914,3,8,NA,75,1161,8A
20210914,3,8,NA,90,1142,8A
20210914,3,8,NA,0,1399,Blank
20210914,3,8,NA,15,1289,Blank
20210914,3,8,NA,30,1250,Blank
20210914,3,8,NA,45,1236,Blank
20210914,3,8,NA,60,1464,Blank
20210914,3,8,NA,75,1463,Blank
20210914,3,8,NA,90,1242,Blank
20210914,3,7.5,NA,0,1296,7.5C
20210914,3,7.5,NA,15,1095,7.5C
20210914,3,7.5,NA,30,970,7.5C
20210914,3,7.5,NA,45,1108,7.5C
20210914,3,7.5,NA,60,1156,7.5C
20210914,3,7.5,NA,75,637,7.5C
20210914,3,7.5,NA,90,844,7.5C
20210914,3,7.5,NA,0,1281,7.5D
20210914,3,7.5,NA,15,1226,7.5D
20210914,3,7.5,NA,30,1500,7.5D
20210914,3,7.5,NA,45,1069,7.5D
20210914,3,7.5,NA,60,906,7.5D
20210914,3,7.5,NA,75,804,7.5D
20210914,3,7.5,NA,90,798,7.5D
20210914,3,7.5,NA,0,1233,7.5A
20210914,3,7.5,NA,15,1204,7.5A
20210914,3,7.5,NA,30,1069,7.5A
20210914,3,7.5,NA,45,914,7.5A
20210914,3,7.5,NA,60,892,7.5A
20210914,3,7.5,NA,75,778,7.5A
20210914,3,7.5,NA,90,1031,7.5A
20210914,3,7.5,NA,0,1271,Blank
20210914,3,7.5,NA,15,1259,Blank
20210914,3,7.5,NA,30,1227,Blank
20210914,3,7.5,NA,45,1313,Blank
20210914,3,7.5,NA,60,1444,Blank
20210914,3,7.5,NA,75,1336,Blank
20210914,3,7.5,NA,90,1574,Blank
20210914,4,8,NA,0,1443,8B
20210914,4,8,NA,15,1075,8B
20210914,4,8,NA,30,1300,8B
20210914,4,8,NA,45,1168,8B
20210914,4,8,NA,60,1179,8B
20210914,4,8,NA,75,1167,8B
20210914,4,8,NA,90,1152,8B
20210914,4,8,NA,0,1354,8C
20210914,4,8,NA,15,1300,8C
20210914,4,8,NA,30,1462,8C
20210914,4,8,NA,45,1293,8C
20210914,4,8,NA,60,1305,8C
20210914,4,8,NA,75,1275,8C
20210914,4,8,NA,90,1184,8C
20210914,4,8,NA,0,1367,8D
20210914,4,8,NA,15,1249,8D
20210914,4,8,NA,30,890,8D
