Run,Chamber_tank,pH,Replicate,Name,Center,Length(um)
1,8_A,8,A,L1,"(4803.55, 5779.86)",1737.49
1,8_B,8,B,L1,"(4892.71, 4471.43)",2709.79
1,8_C,8,C,L1,"(5062.12, 4964.04)",2281.73
2,8_D,8,D,L1,"(3437.16, 4453.59)",2692.97
2,8_A,8,A,L1,"(6658.10, 5013.08)",2974
2,8_B,8,B,L1,"(7275.54, 4475.88)",2109.65
3,8_C,8,C,L1,"(9281.66, 3506.26)",2452.71
3,8_D,8,D,L1,"(6399.53, 3372.52)",3491.29
3,8_A,8,A,L1,"(4638.60, 4857.05)",1974.36
4,8_B,8,B,L1,"(3677.89, 5193.63)",2139.34
4,8_C,8,C,L1,"(7670.08, 4680.95)",1796.06
4,8_D,8,D,L1,"(8994.12, 2935.63)",2969.72
1,7.5_A,7.5,A,L1,"(6482.01, 2202.28)",1970.48
1,7.5_B,7.5,B,L1,"(7311.20, 2193.36)",2097.18
1,7.5_C,7.5,C,L1,"(7391.45, 5889.09)",2880.12
2,7.5_D,7.5,D,L1,"(8419.03, 8245.17)",2726.53
2,7.5_A,7.5,A,L1,"(5762.03, 3169.67)",2212.22
2,7.5_B,7.5,B,L1,"(7242.10, 4874.88)",2822.12
3,7.5_C,7.5,C,L1,"(8514.88, 6595.69)",2687.51
3,7.5_D,7.5,D,L1,"(7206.44, 6401.76)",2659.1
3,7.5_A,7.5,A,L1,"(7522.96, 5556.96)",2253.05
4,7.5_B,7.5,B,L1,"(9375.28, 5737.51)",3163.95
4,7.5_C,7.5,C,L1,"(8844.77, 4150.45)",2150.83
4,7.5_D,7.5,D,L1,"(4368.89, 4088.03)",1916.71
