Date,Run,Plate,pH,Food,Replicate,Chamber_tank,Number,Center,Length_um,Shell_tin_weight,tin_plus_shell,Tissue_tin_ weight,tin_plus_tissue,Dry_Shell_weight,Dry_Tissue_weight,Condition_Index,Instrument,Notes
9/30/2021,1,1,7.5,fed,A,7.5_A,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,7.5,fed,A,7.5_A,1,NA,3740.03,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,7.5,fed,A,7.5_A,2,NA,2535.63,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,7.5,fed,A,7.5_A,4,NA,3826.27,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,7.5,fed,A,7.5_A,5,NA,5202.82,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,7.5,unfed,A,7.5_A,3,NA,2995.63,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,7.5,unfed,A,7.5_A,1,NA,2647.12,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,7.5,unfed,A,7.5_A,2,NA,2768.54,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,7.5,unfed,A,7.5_A,5,NA,2981.4,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,7.5,unfed,A,7.5_A,4,NA,2310.81,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/14/2021,1,NA,7.5,NA,A,7.5_A,1,"(6482.01, 2202.28)",1970.48,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,2,NA,7.5,NA,A,7.5_A,2,"(5762.03, 3169.67)",2212.22,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,3,NA,7.5,NA,A,7.5_A,3,"(7522.96, 5556.96)",2253.05,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/30/2021,1,2,7.5,fed,B,7.5_B,1,NA,3561.09,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,7.5,fed,B,7.5_B,3,NA,2734.68,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,7.5,fed,B,7.5_B,2,NA,2717.97,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,7.5,fed,B,7.5_B,4,NA,4474.19,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,7.5,fed,B,7.5_B,5,NA,3971.07,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,7.5,unfed,B,7.5_B,1,NA,3905.44,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,7.5,unfed,B,7.5_B,2,NA,2371.08,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,7.5,unfed,B,7.5_B,5,NA,2569.93,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,7.5,unfed,B,7.5_B,4,NA,2849.95,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/14/2021,1,NA,7.5,NA,B,7.5_B,1,"(7311.20, 2193.36)",2097.18,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,2,NA,7.5,NA,B,7.5_B,2,"(7242.10, 4874.88)",2822.12,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,4,NA,7.5,NA,B,7.5_B,3,"(9375.28, 5737.51)",3163.95,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,SMASHED
9/30/2021,1,2,7.5,fed,C,7.5_C,1,NA,3406.03,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,7.5,fed,C,7.5_C,2,NA,3916.36,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,7.5,fed,C,7.5_C,3,NA,2646.79,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,7.5,fed,C,7.5_C,4,NA,5218.02,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,7.5,fed,C,7.5_C,5,NA,3425.45,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,7.5,unfed,C,7.5_C,5,NA,2392.46,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,7.5,unfed,C,7.5_C,1,NA,2696.91,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,7.5,unfed,C,7.5_C,2,NA,2773.61,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,7.5,unfed,C,7.5_C,4,NA,2617.18,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/14/2021,1,NA,7.5,NA,C,7.5_C,1,"(7391.45, 5889.09)",2880.12,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,3,NA,7.5,NA,C,7.5_C,2,"(8514.88, 6595.69)",2687.51,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,4,NA,7.5,NA,C,7.5_C,3,"(8844.77, 4150.45)",2150.83,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/30/2021,1,1,7.5,fed,D,7.5_D,3,NA,4074.55,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,7.5,fed,D,7.5_D,2,NA,3900.23,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,7.5,fed,D,7.5_D,1,NA,3236.79,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,7.5,fed,D,7.5_D,4,NA,3661.37,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,7.5,fed,D,7.5_D,5,NA,5311.22,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,7.5,unfed,D,7.5_D,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,,7.5,unfed,D,7.5_D,1,NA,2537.18,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,SMASHED
9/30/2021,2,1,7.5,unfed,D,7.5_D,5,NA,2588.62,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,7.5,unfed,D,7.5_D,4,NA,1680.43,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/14/2021,2,NA,7.5,NA,D,7.5_D,1,"(8419.03, 8245.17)",2726.53,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,3,NA,7.5,NA,D,7.5_D,2,"(7206.44, 6401.76)",2659.1,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,4,NA,7.5,NA,D,7.5_D,3,"(4368.89, 4088.03)",1916.71,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/30/2021,1,1,8,fed,A,8_A,3,NA,5080.44,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,8,fed,A,8_A,2,NA,3833.44,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,8,fed,A,8_A,1,NA,3726.56,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,8,fed,A,8_A,5,NA,4532.4,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,8,fed,A,8_A,4,NA,2569.09,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,8,unfed,A,8_A,2,NA,2741.79,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,8,unfed,A,8_A,3,NA,2926.51,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,8,unfed,A,8_A,1,NA,2338.16,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,8,unfed,A,8_A,5,NA,3121.74,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,8,unfed,A,8_A,4,NA,2794.6,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/14/2021,1,NA,8,NA,A,8_A,1,"(4803.55, 5779.86)",1737.49,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,2,NA,8,NA,A,8_A,2,"(6658.10, 5013.08)",2974,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,3,NA,8,NA,A,8_A,3,"(4638.60, 4857.05)",1974.36,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/30/2021,1,2,8,fed,B,8_B,1,NA,4277.99,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,8,fed,B,8_B,3,NA,4725.11,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,8,fed,B,8_B,2,NA,5084.03,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,8,fed,B,8_B,4,NA,4939.21,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,8,fed,B,8_B,5,NA,3841.53,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,8,unfed,B,8_B,3,NA,4098.8,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,8,unfed,B,8_B,3,NA,3162.5,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,8,unfed,B,8_B,1,NA,4063.04,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,8,unfed,B,8_B,2,NA,2852.4,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,8,unfed,B,8_B,5,NA,2975.12,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,8,unfed,B,8_B,4,NA,3456.24,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/14/2021,1,NA,8,NA,B,8_B,1,"(4892.71, 4471.43)",2709.79,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,2,NA,8,NA,B,8_B,2,"(7275.54, 4475.88)",2109.65,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,4,NA,8,NA,B,8_B,3,"(3677.89, 5193.63)",2139.34,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/30/2021,1,1,8,fed,C,8_C,3,NA,3528.6,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,8,fed,C,8_C,1,NA,3021.9,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,8,fed,C,8_C,2,NA,2994.94,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,8,fed,C,8_C,4,NA,3008.54,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,8,fed,C,8_C,5,NA,2291.39,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,8,unfed,C,8_C,2,NA,2339.1,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,8,unfed,C,8_C,1,NA,2772.19,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,8,unfed,C,8_C,5,NA,2441.63,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,8,unfed,C,8_C,4,NA,2515.39,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/14/2021,1,NA,8,NA,C,8_C,1,"(5062.12, 4964.04)",2281.73,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,3,NA,8,NA,C,8_C,2,"(9281.66, 3506.26)",2452.71,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,4,NA,8,NA,C,8_C,3,"(7670.08, 4680.95)",1796.06,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/30/2021,1,2,8,fed,D,8_D,1,NA,5545.94,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,8,fed,D,8_D,3,NA,3353.75,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,CHIPPED
9/30/2021,1,1,8,fed,D,8_D,2,NA,3102.14,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,8,fed,D,8_D,5,NA,4130.83,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,8,fed,D,8_D,5,NA,3569.03,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,2,8,unfed,D,8_D,1,NA,3548.86,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,1,1,8,unfed,D,8_D,2,NA,3134.22,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,1,8,unfed,D,8_D,4,NA,2216.96,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/30/2021,2,2,8,unfed,D,8_D,5,NA,1872.86,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
9/14/2021,2,NA,8,NA,D,8_D,1,"(3437.16, 4453.59)",2692.97,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,3,NA,8,NA,D,8_D,2,"(6399.53, 3372.52)",3491.29,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
9/14/2021,4,NA,8,NA,D,8_D,3,"(8994.12, 2935.63)",2969.72,NA,NA,NA,NA,NA,NA,NA,loligo_8channel,
10/26/2021,1,NA,8,unfed,A,8_A,1,NA,3228.52,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,7.5,unfed,A,7.5_A,1,NA,3851.85,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,8,unfed,B,8_B,1,NA,2976.68,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
10/26/2021,1,NA,7.5,unfed,D,7.5_D,1,NA,3250.48,NA,NA,NA,NA,NA,NA,NA,SDR_24channel,
