Date,Run,pH,Replicate,Food,Name,Center,Length(um),Instrument,Notes
20210914,1,8,A,NA,L1,"(4803.55, 5779.86)",1737.49,other,
20210914,1,8,B,NA,L1,"(4892.71, 4471.43)",2709.79,other,
20210914,1,8,C,NA,L1,"(5062.12, 4964.04)",2281.73,other,
20210914,2,8,D,NA,L1,"(3437.16, 4453.59)",2692.97,other,
20210914,2,8,A,NA,L1,"(6658.10, 5013.08)",2974,other,
20210914,2,8,B,NA,L1,"(7275.54, 4475.88)",2109.65,other,
20210914,3,8,C,NA,L1,"(9281.66, 3506.26)",2452.71,other,
20210914,3,8,D,NA,L1,"(6399.53, 3372.52)",3491.29,other,
20210914,3,8,A,NA,L1,"(4638.60, 4857.05)",1974.36,other,
20210914,4,8,B,NA,L1,"(3677.89, 5193.63)",2139.34,other,
20210914,4,8,C,NA,L1,"(7670.08, 4680.95)",1796.06,other,
20210914,4,8,D,NA,L1,"(8994.12, 2935.63)",2969.72,other,
20210914,1,7.5,A,NA,L1,"(6482.01, 2202.28)",1970.48,other,
20210914,1,7.5,B,NA,L1,"(7311.20, 2193.36)",2097.18,other,
20210914,1,7.5,C,NA,L1,"(7391.45, 5889.09)",2880.12,other,
20210914,2,7.5,D,NA,L1,"(8419.03, 8245.17)",2726.53,other,
20210914,2,7.5,A,NA,L1,"(5762.03, 3169.67)",2212.22,other,
20210914,2,7.5,B,NA,L1,"(7242.10, 4874.88)",2822.12,other,
20210914,3,7.5,C,NA,L1,"(8514.88, 6595.69)",2687.51,other,
20210914,3,7.5,D,NA,L1,"(7206.44, 6401.76)",2659.1,other,
20210914,3,7.5,A,NA,L1,"(7522.96, 5556.96)",2253.05,other,
20210914,4,7.5,B,NA,L1,"(9375.28, 5737.51)",3163.95,other,
20210914,4,7.5,C,NA,L1,"(8844.77, 4150.45)",2150.83,other,
20210914,4,7.5,D,NA,L1,"(4368.89, 4088.03)",1916.71,other,
20210930,1,7.5,D,2,,NA,NA,SDR,SMASHED
20210930,1,8,C,1,,NA,3528.6,SDR,
20210930,1,7.5,D,1,,NA,4074.55,SDR,
20210930,1,7.5,A,2,,NA,2995.63,SDR,
20210930,1,8,A,1,,NA,5080.44,SDR,
20210930,1,7.5,B,1,,NA,3561.09,SDR,
20210930,1,8,D,1,,NA,5545.94,SDR,
20210930,1,7.5,A,2,,NA,2647.12,SDR,
20210930,1,8,B,1,,NA,4277.99,SDR,
20210930,1,7.5,D,2,,NA,2537.18,SDR,
20210930,1,8,A,2,,NA,2741.79,SDR,
20210930,1,8,B,2,,NA,4098.8,SDR,
20210930,1,7.5,D,1,,NA,3900.23,SDR,
20210930,1,8,D,1,,NA,3353.75,SDR,
20210930,1,7.5,B,2,,NA,3905.44,SDR,
20210930,1,8,D,2,,NA,3548.86,SDR,
20210930,1,7.5,C,2,,NA,2696.91,SDR,
20210930,1,8,B,2,,NA,3162.5,SDR,
20210930,1,8,C,2,,NA,2339.1,SDR,
20210930,1,7,A,1,,NA,NA,SDR,SMASHED
20210930,1,8,A,2,,NA,2926.51,SDR,
20210930,1,7,B,2,,NA,2371.08,SDR,
20210930,1,8,A,1,,NA,3833.44,SDR,
20210930,1,8,C,1,,NA,3021.9,SDR,
20210930,1,7,C,1,,NA,3406.03,SDR,
20210930,1,8,C,2,,NA,2772.19,SDR,
20210930,1,7,C,1,,NA,3916.36,SDR,
20210930,1,8,B,1,,NA,4725.11,SDR,
20210930,1,7,C,1,,NA,2646.79,SDR,
20210930,1,8,D,2,,NA,3134.22,SDR,
20210930,1,7,A,2,,NA,2768.54,SDR,
20210930,1,7,B,1,,NA,2734.68,SDR,
20210930,1,7,D,1,,NA,3236.79,SDR,
20210930,1,8,B,2,,NA,4063.04,SDR,
20210930,1,8,B,1,,NA,5084.03,SDR,
20210930,1,8,A,2,,NA,2338.16,SDR,
20210930,1,7,A,1,,NA,3740.03,SDR,
20210930,1,7,C,2,,NA,2773.61,SDR,
20210930,1,8,B,2,,NA,2852.4,SDR,
20210930,1,8,D,1,,NA,3102.14,SDR,
20210930,1,7,A,1,,NA,2535.63,SDR,
20210930,1,7,B,1,,NA,2717.97,SDR,
20210930,1,8,A,1,,NA,3726.56,SDR,
20210930,1,8,C,1,,NA,2994.94,SDR,
20210930,2,8,C,1,,NA,3008.54,SDR,
20210930,2,7,C,1,,NA,5218.02,SDR,
20210930,2,7,A,1,,NA,3826.27,SDR,
20210930,2,7,B,2,,NA,2569.93,SDR,
20210930,2,7,C,2,,NA,2617.18,SDR,
20210930,2,8,A,1,,NA,4532.4,SDR,
20210930,2,8,B,2,,NA,2975.12,SDR,
20210930,2,7,A,1,,NA,5202.82,SDR,
20210930,2,8,D,2,,NA,2216.96,SDR,
20210930,2,8,D,1,,NA,4130.83,SDR,
20210930,2,8,D,1,,NA,3569.03,SDR,
20210930,2,8,A,1,,NA,2569.09,SDR,
20210930,2,7,A,2,,NA,2981.4,SDR,
20210930,2,7,B,1,,NA,4474.19,SDR,
20210930,2,7,C,1,,NA,2392.46,SDR,
20210930,2,7,D,1,,NA,3661.37,SDR,
20210930,2,8,B,1,,NA,4939.21,SDR,
20210930,2,7,D,1,,NA,5311.22,SDR,
20210930,2,8,C,2,,NA,2441.63,SDR,
20210930,2,8,B,2,,NA,3456.24,SDR,
20210930,2,8,C,1,,NA,2291.39,SDR,
20210930,2,8,C,2,,NA,2515.39,SDR,CHIPPED
20210930,2,7,C,1,,NA,3425.45,SDR,
20210930,2,8,A,2,,NA,3121.74,SDR,
20210930,2,7,B,1,,NA,3971.07,SDR,
20210930,2,7,B,2,,NA,2849.95,SDR,
20210930,2,8,A,2,,NA,2794.6,SDR,
20210930,2,7,A,2,,NA,2310.81,SDR,
20210930,2,7,D,2,,NA,2588.62,SDR,
20210930,2,8,B,1,,NA,3841.53,SDR,
20210930,2,7,D,2,,NA,1680.43,SDR,
20210930,2,8,D,2,,NA,1872.86,SDR,
