Date,Type of exp.,Fed_Unfed,pH,OA/pCO2 treat.,Salinity,t(oC) spec,P (dbars),Total P (mmol/kgSW),Total Si (mmol/kgSW),t(oC) of bucket,P (dbars),TA (mmol/kgSW),TCO2 (mmol/kgSW),pH Chosen scale (4 decimals),CO2SYS_TA.DIC_pH_out,CO2SYS_TA.DIC_fCO2_out_(matm),CO2SYS_TA.DIC_pCO2_out_(matm),CO2SYS_TA.DIC_HCO3_out_(mmol/kgSW),CO2SYS_TA.DIC_CO3_out_(mmol/kgSW),CO2SYS_TA.DIC_CO2_out_(mmol/kgSW),CO2SYS_TA.DIC_B_Alk_out_(mmol/kgSW),CO2SYS_TA.DIC_OH_out_(mmol/kgSW),CO2SYS_TA.DIC_P Alk_out_(mmol/kgSW),CO2SYS_TA.DIC_Si_Alk_out_(mmol/kgSW),CO2SYS_TA.DIC_Revelle_  out,CO2SYS_TA.DIC_Wca_out,CO2SYS_TA.DIC_War_out,CO2SYS_TA.DIC_xCO2_out_(ppm),,CO2SYS_TA.pH_pH out,CO2SYS_TA.pH_fCO2 out (matm),CO2SYS_TA.pH_pCO2 out (matm),CO2SYS_TA.pH_HCO3 out (mmol/kgSW),CO2SYS_TA.pH_CO3 out (mmol/kgSW),CO2SYS_TA.pH_CO2 out (mmol/kgSW),CO2SYS_TA.pH_B Alk out (mmol/kgSW),CO2SYS_TA.pH_OH out (mmol/kgSW),CO2SYS_TA.pH_P Alk out (mmol/kgSW),CO2SYS_TA.pH_Si Alk out (mmol/kgSW),CO2SYS_TA.pH_Revelle out,CO2SYS_TA.pH_WCa out,CO2SYS_TA.pH_WAr out,CO2SYS_TA.pH_xCO2 out_(ppm),,CO2SYS_DIC.pH_pH out,CO2SYS_DIC.pH_fCO2 out (matm),CO2SYS_DIC.pH_pCO2 out (matm),CO2SYS_DIC.pH_HCO3 out (mmol/kgSW),CO2SYS_DIC.pH_CO3 out (mmol/kgSW),CO2SYS_DIC.pH_CO2 out (mmol/kgSW),CO2SYS_DIC.pH_B Alk out (mmol/kgSW),CO2SYS_DIC.pH_OH out (mmol/kgSW),CO2SYS_DIC.pH_P Alk out (mmol/kgSW),CO2SYS_DIC.pH_Si Alk out (mmol/kgSW),CO2SYS_DIC.pH_Revelle out,CO2SYS_DIC.pH_WCa out,CO2SYS_DIC.pH_WAr out,CO2SYS_DIC.pH_xCO2 out_ (ppm)
9/14/2021,Juveniles,fed,7,7A,26.81,20.31,1,0,0,22.1,1,1860.32,1875.1,7.4854,7.35,1968.5,1975.1,1779.9,32.3,62.9,15,0.9,0,0,17.481,0.82,0.52,2027.5,,7.463,1503.8,1508.8,1757.6,41.2,48.1,19.2,1.2,0,0,17.881,1.05,0.67,1548.8,,7.463,1526.7,1531.8,1784.5,41.8,48.8,19.2,1.2,0,0,17.926,1.06,0.68,1572.4
9/14/2021,Juveniles,fed,7,7B,26.76,20.33,1,0,0,22.1,1,1891.22,1872.93,7.4786,7.48,1456.6,1461.4,1782.6,43.7,46.6,20,1.2,0,0,17.915,1.11,0.71,1500.2,,7.456,1553.9,1559.1,1788.7,41.3,49.7,18.9,1.2,0,0,17.943,1.05,0.67,1600.4,,7.456,1548.3,1553.5,1782.3,41.1,49.5,18.9,1.2,0,0,17.932,1.05,0.67,1594.7
9/14/2021,Juveniles,fed,7.5,7.5A,26.73,19.8,1,0,0,22.3,1,1890.16,1820.25,7.6727,7.68,904,907,1725,66.5,28.8,30.3,1.9,0,0,16.294,1.69,1.08,931.4,,7.638,994.3,997.6,1737.8,61.3,31.6,27.9,1.8,0,0,16.762,1.56,1,1024.4,,7.638,988.6,991.9,1727.8,61,31.5,27.9,1.8,0,0,16.741,1.55,0.99,1018.5
9/14/2021,Juveniles,fed,7.5,7.5B,26.42,20.24,1,0,0,22.3,1,1878.24,1824.38,7.6682,7.62,1031.1,1034.5,1733,58.5,32.9,26.6,1.7,0,0,17.009,1.49,0.95,1062.3,,7.64,987.1,990.4,1727.5,60.7,31.5,27.6,1.8,0,0,16.814,1.55,0.99,1017,,7.64,989.6,992.9,1732,60.8,31.5,27.6,1.8,0,0,16.823,1.55,0.99,1019.6
9/14/2021,Juveniles,fed,7.5,7.5C,26.73,19.92,1,0,0,22.3,1,1886.81,1822.17,7.6833,7.66,945.8,948.9,1728.3,63.8,30.1,29.1,1.9,0,0,16.524,1.63,1.04,974.4,,7.65,963,966.2,1730.7,62.8,30.6,28.7,1.8,0,0,16.613,1.6,1.02,992.2,,7.65,962,965.2,1728.8,62.8,30.6,28.7,1.8,0,0,16.609,1.6,1.02,991.1
9/14/2021,Juveniles,fed,7.5,7.5D,26.53,19.92,1,0,0,22.3,1,1874.01,1824.99,7.6714,7.6,1078.5,1082.1,1734.5,56.1,34.4,25.6,1.6,0,0,17.169,1.43,0.91,1111.1,,7.639,986.7,990,1723.5,60.6,31.4,27.7,1.8,0,0,16.786,1.55,0.99,1016.6,,7.639,991.9,995.2,1732.5,60.9,31.6,27.7,1.8,0,0,16.805,1.55,0.99,1021.9
9/14/2021,Juveniles,fed,8,8A,26.77,19.93,1,0,0,22.2,1,1889.82,1776.6,7.8377,7.82,624.1,626.2,1667.1,89.6,19.9,40.8,2.7,0,0,14.198,2.28,1.46,642.9,,7.805,652.6,654.8,1674.8,86.5,20.8,39.4,2.6,0,0,14.462,2.2,1.41,672.3,,7.805,650.6,652.7,1669.6,86.2,20.8,39.4,2.6,0,0,14.451,2.2,1.4,670.2
9/14/2021,Juveniles,fed,8,8B,26.75,19.96,1,0,0,22.2,1,1884.98,1790.03,7.7975,7.76,721.9,724.3,1687.6,79.4,23,36.3,2.4,0,0,15.068,2.02,1.29,743.6,,7.765,720,722.4,1687.2,79.5,23,36.3,2.4,0,0,15.053,2.03,1.29,741.7,,7.765,720.1,722.5,1687.5,79.6,23,36.3,2.4,0,0,15.054,2.03,1.29,741.8
9/14/2021,Juveniles,fed,8,8C,26.72,19.74,1,0,0,22.2,1,1885.86,1778.69,7.8294,7.8,652.4,654.5,1671.7,86.1,20.8,39.3,2.6,0,0,14.477,2.19,1.4,672,,7.794,670.1,672.4,1676.3,84.3,21.4,38.4,2.5,0,0,14.637,2.15,1.37,690.3,,7.794,668.9,671.1,1673.2,84.2,21.3,38.4,2.5,0,0,14.63,2.14,1.37,689
9/14/2021,Juveniles,fed,8,8D,26.74,20.12,1,0,0,22.2,1,1886.32,1777.09,7.824,7.81,642.1,644.2,1669.3,87.3,20.5,39.8,2.6,0,0,14.378,2.22,1.42,661.4,,7.794,670,672.2,1676.5,84.4,21.4,38.5,2.5,0,0,14.63,2.15,1.37,690.1,,7.794,668,670.2,1671.6,84.1,21.3,38.5,2.5,0,0,14.619,2.14,1.37,688.1
