Date_sampled,pH,Tank_Replicate,pH_Replicate,Shell_length_mm,New_tin_ID,Shell_Tin_ID,Shell_Tin_Weight_g,Dry_Shell_Tin_Weight_g,Dry_Shell_weight_g,Tissue_Tin_ID,Tissue_Tin_Weight_g,Dry_Tissue_Tin_Weight_g,Dry_Tissue_weight_g,Whole_animal_dry_weight_g,Condition_index_drywtRatio_Walne1976,Ash_weight_g,AFDW_g,Condition_index_ADFW_div_length,notes
12/2/2021,8,C,8_C,18.6,1,4A1,1.1858,1.608,0.4222,4A1,0.4128,0.4648,0.052,0.4742,3.233830846,0.8422,0.0448,2.408602151,
12/2/2021,8,C,8_C,18.1,2,4A2,1.1737,1.55,0.3763,4A2,0.4156,0.4543,0.0387,0.415,2.496774194,0.7984,0.0322,1.779005525,
12/2/2021,8,C,8_C,14.1,3,4A3,1.1745,1.3455,0.171,4A3,0.4193,0.4416,0.0223,0.1933,1.65737644,0.593,0.0196,1.390070922,
12/2/2021,8,C,8_C,11.5,4,4A4,1.1805,1.2877,0.1072,4A4,0.4112,0.4242,0.013,0.1202,1.009551914,0.5195,0.0119,1.034782609,
12/2/2021,8,C,8_C,10.6,5,4A5,1.188,1.2674,0.0794,4A5,0.4114,0.4212,0.0098,0.0892,0.773236547,0.4913,0.0093,0.877358491,
12/2/2021,8,C,8_C,11,6,4A6,1.1643,1.265,0.1007,4A6,0.4175,0.4256,0.0081,0.1088,0.640316206,0.5175,0.0088,0.8,
12/2/2021,8,C,8_C,10.4,7,4A7,1.1717,1.2394,0.0677,4A7,0.4092,0.4153,0.0061,0.0738,0.492173632,0.4774,0.0056,0.538461538,
12/2/2021,8,C,8_C,5.8,8,4A8,1.1813,1.1963,0.015,4A8,0.4206,0.4219,0.0013,0.0163,0.108668394,0.4365,0.0004,0.068965517,
12/2/2021,8,C,8_C,5.1,9,4A9,1.1833,1.1922,0.0089,4A9,0.4131,0.4138,0.0007,0.0096,0.058714981,0.4226,0.0001,0.019607843,
12/2/2021,8,C,8_C,5.5,10,4A10,1.1695,1.1802,0.0107,4A10,0.4205,0.4216,0.0011,0.0118,0.093204542,0.432,0.0003,0.054545455,
12/2/2021,8,B,8_B,3.6,11,4A11,1.1822,1.1849,0.0027,4A11,0.4136,0.4129,-0.0007,0.002,-0.059076715,0.4176,-0.002,-0.555555556,negative 
12/2/2021,7.5,C,7.5_C,23,12,4A12,1.1779,1.8194,0.6415,4A12,0.4171,0.5027,0.0856,0.7271,4.704847752,1.0745,0.0697,3.030434783,
12/2/2021,8,B,8_B,4.8,13,4B1,1.183,1.1902,0.0072,4B1,0.4179,0.4187,0.0008,0.008,0.067215594,0.4265,-0.0006,-0.125,
12/2/2021,8,B,8_B,4.8,14,4B2,1.1857,1.1931,0.0074,4B2,0.4137,0.4136,-1.00E-04,0.0073,-0.008381527,0.4208,0.0002,0.041666667,negative - labeled 'not good' by Genevieve
12/2/2021,7.5,C,7.5_C,22.1,15,4B3,1.1979,1.7228,0.5249,4B3,0.4172,0.4993,0.0821,0.607,4.765498026,0.9557,0.0685,3.099547511,
12/2/2021,8,B,8_B,14.2,16,4B4,1.182,1.3758,0.1938,4B4,0.4145,0.4398,0.0253,0.2191,1.838930077,0.612,0.0216,1.521126761,
12/2/2021,8,B,8_B,10.7,17,4B5,1.171,1.252,0.081,4B5,0.4132,0.4235,0.0103,0.0913,0.822683706,0.4957,0.0088,0.822429907,
12/2/2021,8,B,8_B,10.7,18,4B6,1.1834,1.2512,0.0678,4B6,0.4087,0.4181,0.0094,0.0772,0.751278772,0.4784,0.0075,0.700934579,
12/2/2021,8,B,8_B,9.8,19,4B7,1.1695,1.2235,0.054,4B7,0.4191,0.43,0.0109,0.0649,0.8908868,0.4726,0.0114,1.163265306,
12/2/2021,7.5,C,7.5_C,18.5,20,4B8,1.1805,1.5406,0.3601,4B8,0.4078,0.451,0.0432,0.4033,2.804102298,0.7713,0.0398,2.151351351,
12/2/2021,7.5,C,7.5_C,12.8,21,4B9,1.1834,1.2973,0.1139,4B9,0.4111,0.427,0.0159,0.1298,1.225622447,0.5274,0.0135,1.0546875,
12/2/2021,8,B,8_B,7.9,22,4B10,1.1686,1.2026,0.034,4B10,0.4182,0.4226,0.0044,0.0384,0.36587394,0.4528,0.0038,0.481012658,
12/2/2021,8,B,8_B,20.7,23,4B11,1.1855,1.7206,0.5351,4B11,0.4074,0.4772,0.0698,0.6049,4.056724398,0.955,0.0573,2.768115942,
12/2/2021,8,B,8_B,19,24,4B12,1.1829,1.5537,0.3708,4B12,0.4122,0.4747,0.0625,0.4333,4.022655596,0.795,0.0505,2.657894737,
12/2/2021,7.5,C,7.5_C,11.8,25,4C1,1.1838,1.2749,0.0911,4C1,0.4151,0.4282,0.0131,0.1042,1.027531571,0.5082,0.0111,0.940677966,
