Day,trt,Treatment,pH,Food,Rep,Length,Survival
51,Ph_8_HighFood,Low OA,8,fed,A,2619.84654,1
51,Ph_8_HighFood,Low OA,8,fed,B,2537.67244,1
51,Ph_8_HighFood,Low OA,8,fed,C,1974.98718,1
51,Ph_8_HighFood,Low OA,8,fed,D,2200.76154,1
51,Ph_8_LowFood,Moderate OA,7.5,fed,A,2462.39172,1
51,Ph_8_LowFood,Moderate OA,7.5,fed,B,2435.23616,1
51,Ph_8_LowFood,Moderate OA,7.5,fed,C,2195.13648,1
51,Ph_8_LowFood,Moderate OA,7.5,fed,D,2294.18092,1
51,Ph_7.5_HighFood,Low OA,8,unfed,A,2619.84654,1
51,Ph_7.5_HighFood,Low OA,8,unfed,B,2537.67244,1
51,Ph_7.5_HighFood,Low OA,8,unfed,C,1974.98718,1
51,Ph_7.5_HighFood,Low OA,8,unfed,D,2200.76154,1
51,Ph_7.5_LowFood,Moderate OA,7.5,unfed,A,2462.39172,1
51,Ph_7.5_LowFood,Moderate OA,7.5,unfed,B,2435.23616,1
51,Ph_7.5_LowFood,Moderate OA,7.5,unfed,C,2195.13648,1
51,Ph_7.5_LowFood,Moderate OA,7.5,unfed,D,2294.18092,1
64,Ph_8_HighFood,Low OA,8,fed,A,4158.12818,1
64,Ph_8_HighFood,Low OA,8,fed,B,3654.172289,1
64,Ph_8_HighFood,Low OA,8,fed,C,3319.94288,0.99
64,Ph_8_HighFood,Low OA,8,fed,D,3738.61818,0.96
64,Ph_8_LowFood,Moderate OA,7.5,fed,A,2371.87678,0.88
64,Ph_8_LowFood,Moderate OA,7.5,fed,B,2486.396537,0.96
64,Ph_8_LowFood,Moderate OA,7.5,fed,C,1978.264439,0.81
64,Ph_8_LowFood,Moderate OA,7.5,fed,D,2329.329488,0.99
64,Ph_7.5_HighFood,Low OA,8,unfed,A,3325.87822,0.97
64,Ph_7.5_HighFood,Low OA,8,unfed,B,3632.290857,1.01
64,Ph_7.5_HighFood,Low OA,8,unfed,C,3865.32744,1
64,Ph_7.5_HighFood,Low OA,8,unfed,D,3739.89202,0.97
64,Ph_7.5_LowFood,Moderate OA,7.5,unfed,A,2228.92078,0.96
64,Ph_7.5_LowFood,Moderate OA,7.5,unfed,B,2423.429049,1.01
64,Ph_7.5_LowFood,Moderate OA,7.5,unfed,C,2360.375732,0.54
64,Ph_7.5_LowFood,Moderate OA,7.5,unfed,D,2249.92061,0.97
